detection,sim,mcc,majority,cutoff,tree_type,nobs
0.95,1,1,0,0.95,MCC,3002
0.98,1,1,0,0.95,MCC,3002
0.97,1,1,0,0.95,MCC,3002
0.95,1,1,0,0.95,MCC,3002
0.94,1,1,0,0.95,MCC,3002
0.97,1,1,0,0.95,MCC,3002
0.95,1,1,0,0.95,MCC,3002
0.97,1,1,0,0.95,MCC,3002
0.94,1,1,0,0.95,MCC,3002
0.95,1,1,0,0.95,MCC,3002
0.93,1,1,0,0.95,MCC,3002
0.94,1,1,0,0.95,MCC,3002
0.95,1,1,0,0.95,MCC,3002
0.94,1,1,0,0.95,MCC,3002
0.95,1,1,0,0.95,MCC,3002
0.97,1,1,0,0.95,MCC,3002
0.99,1,1,0,0.95,MCC,3002
0.92,1,1,0,0.95,MCC,3002
0.96,1,1,0,0.95,MCC,3002
0.94,1,1,0,0.95,MCC,3002
0.93,1,1,0,0.95,MCC,3002
0.93,1,1,0,0.95,MCC,3002
0.94,1,1,0,0.95,MCC,3002
0.95,1,1,0,0.95,MCC,3002
0.93,1,1,0,0.95,MCC,3002
0.93,1,1,0,0.95,MCC,3002
0.95,1,1,0,0.95,MCC,3002
0.96,1,1,0,0.95,MCC,3002
0.98,1,1,0,0.95,MCC,3002
0.97,1,1,0,0.95,MCC,3002
0.91,1,1,0,0.95,MCC,3002
0.97,1,1,0,0.95,MCC,3002
0.92,1,1,0,0.95,MCC,3002
0.93,1,1,0,0.95,MCC,3002
0.94,1,1,0,0.95,MCC,3002
0.95,1,1,0,0.95,MCC,3002
0.94,1,1,0,0.95,MCC,3002
0.96,1,1,0,0.95,MCC,3002
0.97,1,1,0,0.95,MCC,3002
0.95,1,1,0,0.95,MCC,3002
0.93,1,1,0,0.95,MCC,3002
0.93,1,1,0,0.95,MCC,3002
0.95,1,1,0,0.95,MCC,3002
0.95,1,1,0,0.95,MCC,3002
0.96,1,1,0,0.95,MCC,3002
0.94,1,1,0,0.95,MCC,3002
0.92,1,1,0,0.95,MCC,3002
0.93,1,1,0,0.95,MCC,3002
0.97,1,1,0,0.95,MCC,3002
0.92,15,0,0,0.95,Random sample,3005
0.96,15,0,0,0.95,Random sample,3005
0.96,15,0,0,0.95,Random sample,3005
0.89,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.89,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.97,15,0,0,0.95,Random sample,3005
0.93,15,0,0,0.95,Random sample,3005
0.93,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.91,15,0,0,0.95,Random sample,3005
0.93,15,0,0,0.95,Random sample,3005
0.96,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.96,15,0,0,0.95,Random sample,3005
0.92,15,0,0,0.95,Random sample,3005
0.97,15,0,0,0.95,Random sample,3005
0.93,15,0,0,0.95,Random sample,3005
0.97,15,0,0,0.95,Random sample,3005
0.92,15,0,0,0.95,Random sample,3005
0.96,15,0,0,0.95,Random sample,3005
0.9,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.93,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.93,15,0,0,0.95,Random sample,3005
0.96,15,0,0,0.95,Random sample,3005
0.93,15,0,0,0.95,Random sample,3005
0.93,15,0,0,0.95,Random sample,3005
0.96,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.97,15,0,0,0.95,Random sample,3005
0.97,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.92,15,0,0,0.95,Random sample,3005
0.93,15,0,0,0.95,Random sample,3005
0.91,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.92,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.96,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.96,15,0,0,0.95,Random sample,3005
0.92,15,0,0,0.95,Random sample,3005
0.93,15,0,0,0.95,Random sample,3005
0.93,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.97,15,0,0,0.95,Random sample,3005
0.96,15,0,0,0.95,Random sample,3005
0.91,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.93,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.93,15,0,0,0.95,Random sample,3005
0.96,15,0,0,0.95,Random sample,3005
0.93,15,0,0,0.95,Random sample,3005
0.97,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.98,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.91,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.96,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.97,15,0,0,0.95,Random sample,3005
0.96,15,0,0,0.95,Random sample,3005
0.91,15,0,0,0.95,Random sample,3005
0.95,15,0,0,0.95,Random sample,3005
0.98,15,0,0,0.95,Random sample,3005
0.93,15,0,0,0.95,Random sample,3005
0.94,15,0,0,0.95,Random sample,3005
0.92,15,0,0,0.95,Random sample,3005
