true,est_sorted,est_unsorted,sim,nobs,tree_type
0.0853552209353074,0.08,0.09,1,3000,kappa
0.0853552209353074,0.08,0.09,1,3000,kappa
0.0853552209353074,0.08,0.09,1,3000,kappa
0.0853552209353074,0.08,0.09,1,3000,kappa
0.0853552209353074,0.08,0.09,1,3000,kappa
0.0853552209353074,0.08,0.09,1,3000,kappa
0.0853552209353074,0.08,0.09,1,3000,kappa
0.0853552209353074,0.08,0.09,1,3000,kappa
0.0853552209353074,0.08,0.09,1,3000,kappa
0.0853552209353074,0.08,0.09,1,3000,kappa
0.691975731765851,0.6,0.59,2,3000,kappa
0.691975731765851,0.63,0.59,2,3000,kappa
0.691975731765851,0.61,0.6,2,3000,kappa
0.691975731765851,0.57,0.59,2,3000,kappa
0.691975731765851,0.6,0.59,2,3000,kappa
0.691975731765851,0.6,0.59,2,3000,kappa
0.691975731765851,0.58,0.59,2,3000,kappa
0.691975731765851,0.6,0.59,2,3000,kappa
0.691975731765851,0.6,0.6,2,3000,kappa
0.691975731765851,0.62,0.59,2,3000,kappa
0.43908622036688,0.33,0.42,3,3000,kappa
0.43908622036688,0.33,0.41,3,3000,kappa
0.43908622036688,0.33,0.41,3,3000,kappa
0.43908622036688,0.34,0.42,3,3000,kappa
0.43908622036688,0.33,0.42,3,3000,kappa
0.43908622036688,0.33,0.42,3,3000,kappa
0.43908622036688,0.33,0.42,3,3000,kappa
0.43908622036688,0.33,0.41,3,3000,kappa
0.43908622036688,0.33,0.42,3,3000,kappa
0.43908622036688,0.34,0.43,3,3000,kappa
0.187389228595421,0.15,0.2,4,3000,kappa
0.187389228595421,0.15,0.19,4,3000,kappa
0.187389228595421,0.15,0.19,4,3000,kappa
0.187389228595421,0.16,0.19,4,3000,kappa
0.187389228595421,0.16,0.19,4,3000,kappa
0.187389228595421,0.15,0.19,4,3000,kappa
0.187389228595421,0.15,0.19,4,3000,kappa
0.187389228595421,0.15,0.19,4,3000,kappa
0.187389228595421,0.15,0.2,4,3000,kappa
0.187389228595421,0.16,0.2,4,3000,kappa
0.100110847381875,0.09,0.11,5,3000,kappa
0.100110847381875,0.09,0.11,5,3000,kappa
0.100110847381875,0.09,0.11,5,3000,kappa
0.100110847381875,0.09,0.11,5,3000,kappa
0.100110847381875,0.09,0.11,5,3000,kappa
0.100110847381875,0.09,0.11,5,3000,kappa
0.100110847381875,0.09,0.11,5,3000,kappa
0.100110847381875,0.09,0.11,5,3000,kappa
0.100110847381875,0.09,0.11,5,3000,kappa
0.100110847381875,0.09,0.11,5,3000,kappa
0.063856781264767,0.06,0.07,6,3000,kappa
0.063856781264767,0.06,0.07,6,3000,kappa
0.063856781264767,0.06,0.07,6,3000,kappa
0.063856781264767,0.06,0.07,6,3000,kappa
0.063856781264767,0.06,0.07,6,3000,kappa
0.063856781264767,0.06,0.07,6,3000,kappa
0.063856781264767,0.06,0.07,6,3000,kappa
0.063856781264767,0.06,0.07,6,3000,kappa
0.063856781264767,0.06,0.07,6,3000,kappa
0.063856781264767,0.06,0.07,6,3000,kappa
0.73473806691356,0.64,0.62,7,3000,kappa
0.73473806691356,0.66,0.6,7,3000,kappa
0.73473806691356,0.65,0.61,7,3000,kappa
0.73473806691356,0.61,0.6,7,3000,kappa
0.73473806691356,0.64,0.6,7,3000,kappa
0.73473806691356,0.64,0.61,7,3000,kappa
0.73473806691356,0.63,0.61,7,3000,kappa
0.73473806691356,0.64,0.6,7,3000,kappa
0.73473806691356,0.65,0.6,7,3000,kappa
0.73473806691356,0.66,0.62,7,3000,kappa
0.137997635365464,0.12,0.15,8,3000,kappa
0.137997635365464,0.12,0.15,8,3000,kappa
0.137997635365464,0.12,0.15,8,3000,kappa
0.137997635365464,0.12,0.15,8,3000,kappa
0.137997635365464,0.12,0.15,8,3000,kappa
0.137997635365464,0.12,0.15,8,3000,kappa
0.137997635365464,0.12,0.15,8,3000,kappa
0.137997635365464,0.12,0.15,8,3000,kappa
0.137997635365464,0.12,0.15,8,3000,kappa
0.137997635365464,0.12,0.15,8,3000,kappa
0.607391449022107,0.49,0.54,9,3000,kappa
0.607391449022107,0.5,0.55,9,3000,kappa
0.607391449022107,0.5,0.55,9,3000,kappa
0.607391449022107,0.47,0.53,9,3000,kappa
0.607391449022107,0.5,0.55,9,3000,kappa
0.607391449022107,0.5,0.55,9,3000,kappa
0.607391449022107,0.48,0.54,9,3000,kappa
0.607391449022107,0.5,0.55,9,3000,kappa
0.607391449022107,0.49,0.55,9,3000,kappa
0.607391449022107,0.51,0.56,9,3000,kappa
0.873683324567974,0.78,0.65,10,3000,kappa
0.873683324567974,0.84,0.65,10,3000,kappa
0.873683324567974,0.83,0.66,10,3000,kappa
0.873683324567974,0.77,0.65,10,3000,kappa
0.873683324567974,0.81,0.65,10,3000,kappa
0.873683324567974,0.8,0.65,10,3000,kappa
0.873683324567974,0.78,0.64,10,3000,kappa
0.873683324567974,0.81,0.66,10,3000,kappa
0.873683324567974,0.8,0.66,10,3000,kappa
0.873683324567974,0.85,0.66,10,3000,kappa
0.473992874110118,0.35,0.45,11,3000,kappa
0.473992874110118,0.36,0.44,11,3000,kappa
0.473992874110118,0.36,0.43,11,3000,kappa
0.473992874110118,0.37,0.44,11,3000,kappa
0.473992874110118,0.36,0.45,11,3000,kappa
0.473992874110118,0.35,0.45,11,3000,kappa
0.473992874110118,0.36,0.44,11,3000,kappa
0.473992874110118,0.36,0.44,11,3000,kappa
0.473992874110118,0.35,0.45,11,3000,kappa
0.473992874110118,0.37,0.45,11,3000,kappa
0.461917940680869,0.36,0.44,12,3000,kappa
0.461917940680869,0.36,0.45,12,3000,kappa
0.461917940680869,0.36,0.44,12,3000,kappa
0.461917940680869,0.37,0.47,12,3000,kappa
0.461917940680869,0.36,0.44,12,3000,kappa
0.461917940680869,0.35,0.45,12,3000,kappa
0.461917940680869,0.36,0.45,12,3000,kappa
0.461917940680869,0.36,0.45,12,3000,kappa
0.461917940680869,0.36,0.46,12,3000,kappa
0.461917940680869,0.37,0.45,12,3000,kappa
0.815035319905728,0.75,0.64,13,3000,kappa
0.815035319905728,0.8,0.65,13,3000,kappa
0.815035319905728,0.79,0.65,13,3000,kappa
0.815035319905728,0.73,0.62,13,3000,kappa
0.815035319905728,0.76,0.66,13,3000,kappa
0.815035319905728,0.75,0.63,13,3000,kappa
0.815035319905728,0.74,0.63,13,3000,kappa
