si_pdist,dist_pdist,convolve,prune,cutoff,use_known,i.si_pdist,i.dist_pdist,i.convolve,i.prune,i.cutoff,i.use_known,prop_matching,same_dist,same_si,same_cutoff,same_convol,group_val
weibull,gamma,mixed,TRUE,0.975,TRUE,gamma,gamma,mixed,TRUE,0.975,TRUE,0.8875767595654228,FALSE,TRUE,TRUE,TRUE,Same SI
weibull,lnorm,mixed,TRUE,0.95,TRUE,gamma,gamma,mixed,TRUE,0.975,TRUE,0.6924893717524799,FALSE,FALSE,FALSE,TRUE,Both different
weibull,lnorm,mixed,TRUE,0.975,TRUE,gamma,gamma,mixed,TRUE,0.975,TRUE,0.6806802078412848,FALSE,FALSE,TRUE,TRUE,Both different
weibull,weibull,mixed,TRUE,0.95,TRUE,gamma,gamma,mixed,TRUE,0.975,TRUE,0.7709022201228153,FALSE,FALSE,FALSE,TRUE,Both different
weibull,weibull,mixed,TRUE,0.975,TRUE,gamma,gamma,mixed,TRUE,0.975,TRUE,0.781294284364667,FALSE,FALSE,TRUE,TRUE,Both different
gamma,gamma,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.6646197449220596,TRUE,FALSE,TRUE,TRUE,Same DK
gamma,gamma,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.7033538025507794,TRUE,FALSE,FALSE,TRUE,Same DK
gamma,lnorm,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,1,TRUE,TRUE,TRUE,TRUE,Both same
gamma,lnorm,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.8205007085498347,TRUE,TRUE,FALSE,TRUE,Both same
gamma,weibull,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.7576759565422768,TRUE,FALSE,TRUE,TRUE,Same DK
gamma,weibull,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.7874350495984884,TRUE,FALSE,FALSE,TRUE,Same DK
lnorm,gamma,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.6197449220595181,FALSE,FALSE,TRUE,TRUE,Both different
lnorm,gamma,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.6570618800188947,FALSE,FALSE,FALSE,TRUE,Both different
lnorm,lnorm,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.8110533774208786,FALSE,TRUE,TRUE,TRUE,Same SI
lnorm,lnorm,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.7529522909777988,FALSE,TRUE,FALSE,TRUE,Same SI
lnorm,weibull,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.7104393008974964,FALSE,FALSE,TRUE,TRUE,Both different
lnorm,weibull,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.737836561171469,FALSE,FALSE,FALSE,TRUE,Both different
weibull,gamma,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.6603684459140293,FALSE,FALSE,TRUE,TRUE,Both different
weibull,gamma,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.7057156353330184,FALSE,FALSE,FALSE,TRUE,Both different
weibull,lnorm,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.8601794992914502,FALSE,TRUE,TRUE,TRUE,Same SI
weibull,lnorm,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.8025507794048181,FALSE,TRUE,FALSE,TRUE,Same SI
weibull,weibull,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.7444496929617384,FALSE,FALSE,TRUE,TRUE,Both different
weibull,weibull,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.95,TRUE,0.761927255550307,FALSE,FALSE,FALSE,TRUE,Both different
gamma,gamma,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.6410014170996693,TRUE,FALSE,FALSE,TRUE,Same DK
gamma,gamma,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.6934341048653755,TRUE,FALSE,TRUE,TRUE,Same DK
gamma,lnorm,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.8205007085498347,TRUE,TRUE,FALSE,TRUE,Both same
gamma,lnorm,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,1,TRUE,TRUE,TRUE,TRUE,Both same
gamma,weibull,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.7293339631554085,TRUE,FALSE,FALSE,TRUE,Same DK
gamma,weibull,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.7628719886632026,TRUE,FALSE,TRUE,TRUE,Same DK
lnorm,gamma,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.596126594237128,FALSE,FALSE,FALSE,TRUE,Both different
lnorm,gamma,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.6457250826641474,FALSE,FALSE,TRUE,TRUE,Both different
lnorm,lnorm,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.75484175720359,FALSE,TRUE,FALSE,TRUE,Same SI
lnorm,lnorm,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.7888521492678319,FALSE,TRUE,TRUE,TRUE,Same SI
lnorm,weibull,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.6783183750590458,FALSE,FALSE,FALSE,TRUE,Both different
lnorm,weibull,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.7175247992442135,FALSE,FALSE,TRUE,TRUE,Both different
weibull,gamma,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.6301369863013698,FALSE,FALSE,FALSE,TRUE,Both different
weibull,gamma,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.6910722720831365,FALSE,FALSE,TRUE,TRUE,Both different
weibull,lnorm,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.8119981105337742,FALSE,TRUE,FALSE,TRUE,Same SI
weibull,lnorm,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.8412848370335381,FALSE,TRUE,TRUE,TRUE,Same SI
weibull,weibull,mixed,TRUE,0.95,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.7071327350023618,FALSE,FALSE,FALSE,TRUE,Both different
weibull,weibull,mixed,TRUE,0.975,TRUE,gamma,lnorm,mixed,TRUE,0.975,TRUE,0.7472838923004251,FALSE,FALSE,TRUE,TRUE,Both different
gamma,gamma,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.7940481813887577,TRUE,FALSE,TRUE,TRUE,Same DK
gamma,gamma,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.7760982522437412,TRUE,FALSE,FALSE,TRUE,Same DK
gamma,lnorm,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.7576759565422768,TRUE,FALSE,TRUE,TRUE,Same DK
gamma,lnorm,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.7293339631554085,TRUE,FALSE,FALSE,TRUE,Same DK
gamma,weibull,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,1,TRUE,TRUE,TRUE,TRUE,Both same
gamma,weibull,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.8205007085498347,TRUE,TRUE,FALSE,TRUE,Both same
lnorm,gamma,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.7416154936230515,FALSE,FALSE,TRUE,TRUE,Both different
lnorm,gamma,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.7151629664619745,FALSE,FALSE,FALSE,TRUE,Both different
lnorm,lnorm,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.7156353330184223,FALSE,FALSE,TRUE,TRUE,Both different
lnorm,lnorm,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.6806802078412848,FALSE,FALSE,FALSE,TRUE,Both different
lnorm,weibull,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.8379782711384034,FALSE,TRUE,TRUE,TRUE,Same SI
lnorm,weibull,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.7562588568729334,FALSE,TRUE,FALSE,TRUE,Same SI
weibull,gamma,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.7964100141709967,FALSE,FALSE,TRUE,TRUE,Both different
weibull,gamma,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.7760982522437412,FALSE,FALSE,FALSE,TRUE,Both different
weibull,lnorm,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.7477562588568729,FALSE,FALSE,TRUE,TRUE,Both different
weibull,lnorm,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.7118564005668399,FALSE,FALSE,FALSE,TRUE,Both different
weibull,weibull,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.8852149267831837,FALSE,TRUE,TRUE,TRUE,Same SI
weibull,weibull,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.95,TRUE,0.8030231459612659,FALSE,TRUE,FALSE,TRUE,Same SI
gamma,gamma,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.73547472838923,TRUE,FALSE,FALSE,TRUE,Same DK
gamma,gamma,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.7959376476145489,TRUE,FALSE,TRUE,TRUE,Same DK
gamma,lnorm,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.7874350495984884,TRUE,FALSE,FALSE,TRUE,Same DK
gamma,lnorm,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.7628719886632026,TRUE,FALSE,TRUE,TRUE,Same DK
gamma,weibull,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.8205007085498347,TRUE,TRUE,FALSE,TRUE,Both same
gamma,weibull,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,1,TRUE,TRUE,TRUE,TRUE,Both same
lnorm,gamma,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.6787907416154936,FALSE,FALSE,FALSE,TRUE,Both different
lnorm,gamma,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.7264997638167218,FALSE,FALSE,TRUE,TRUE,Both different
lnorm,lnorm,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.7321681624940954,FALSE,FALSE,FALSE,TRUE,Both different
lnorm,lnorm,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.7090222012281531,FALSE,FALSE,TRUE,TRUE,Both different
lnorm,weibull,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.7657061880018895,FALSE,TRUE,FALSE,TRUE,Same SI
lnorm,weibull,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.8153046764289088,FALSE,TRUE,TRUE,TRUE,Same SI
weibull,gamma,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.7255550307038262,FALSE,FALSE,FALSE,TRUE,Both different
weibull,gamma,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.7926310817194142,FALSE,FALSE,TRUE,TRUE,Both different
weibull,lnorm,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.7709022201228153,FALSE,FALSE,FALSE,TRUE,Both different
weibull,lnorm,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.7576759565422768,FALSE,FALSE,TRUE,TRUE,Both different
weibull,weibull,mixed,TRUE,0.95,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.8058573452999528,FALSE,TRUE,FALSE,TRUE,Same SI
weibull,weibull,mixed,TRUE,0.975,TRUE,gamma,weibull,mixed,TRUE,0.975,TRUE,0.8710439300897497,FALSE,TRUE,TRUE,TRUE,Same SI
gamma,gamma,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.8455361360415683,FALSE,TRUE,TRUE,TRUE,Same SI
gamma,gamma,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.7675956542276807,FALSE,TRUE,FALSE,TRUE,Same SI
gamma,lnorm,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.6197449220595181,FALSE,FALSE,TRUE,TRUE,Both different
gamma,lnorm,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.596126594237128,FALSE,FALSE,FALSE,TRUE,Both different
gamma,weibull,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.7416154936230515,FALSE,FALSE,TRUE,TRUE,Both different
gamma,weibull,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.6787907416154936,FALSE,FALSE,FALSE,TRUE,Both different
lnorm,gamma,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,1,TRUE,TRUE,TRUE,TRUE,Both same
lnorm,gamma,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.8115257439773264,TRUE,TRUE,FALSE,TRUE,Both same
lnorm,lnorm,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.6622579121398205,TRUE,FALSE,TRUE,TRUE,Same DK
lnorm,lnorm,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.6414737836561172,TRUE,FALSE,FALSE,TRUE,Same DK
lnorm,weibull,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.7940481813887577,TRUE,FALSE,TRUE,TRUE,Same DK
lnorm,weibull,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.7250826641473783,TRUE,FALSE,FALSE,TRUE,Same DK
weibull,gamma,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.8483703353802551,FALSE,TRUE,TRUE,TRUE,Same SI
weibull,gamma,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.7453944260746339,FALSE,TRUE,FALSE,TRUE,Same SI
weibull,lnorm,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.6112423240434577,FALSE,FALSE,TRUE,TRUE,Both different
weibull,lnorm,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.584317430325933,FALSE,FALSE,FALSE,TRUE,Both different
weibull,weibull,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.7350023618327822,FALSE,FALSE,TRUE,TRUE,Both different
weibull,weibull,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.95,TRUE,0.670760510155881,FALSE,FALSE,FALSE,TRUE,Both different
gamma,gamma,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.7468115257439774,FALSE,TRUE,FALSE,TRUE,Same SI
gamma,gamma,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.8228625413320737,FALSE,TRUE,TRUE,TRUE,Same SI
gamma,lnorm,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.6570618800188947,FALSE,FALSE,FALSE,TRUE,Both different
gamma,lnorm,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.6457250826641474,FALSE,FALSE,TRUE,TRUE,Both different
gamma,weibull,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.7151629664619745,FALSE,FALSE,FALSE,TRUE,Both different
gamma,weibull,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.7264997638167218,FALSE,FALSE,TRUE,TRUE,Both different
lnorm,gamma,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.8115257439773264,TRUE,TRUE,FALSE,TRUE,Both same
lnorm,gamma,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,1,TRUE,TRUE,TRUE,TRUE,Both same
lnorm,lnorm,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.6854038734057629,TRUE,FALSE,FALSE,TRUE,Same DK
lnorm,lnorm,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.677846008502598,TRUE,FALSE,TRUE,TRUE,Same DK
lnorm,weibull,mixed,TRUE,0.95,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.7713745866792631,TRUE,FALSE,FALSE,TRUE,Same DK
lnorm,weibull,mixed,TRUE,0.975,TRUE,lnorm,gamma,mixed,TRUE,0.975,TRUE,0.8039678790741616,TRUE,FALSE,TRUE,TRUE,Same DK
