"","Var1","Freq"
"1","Cat",75
"2","Domestic dog",3081
"3","Wildlife: Banded mongoose",1
"4","Wildlife: Bat eared fox",2
"5","Wildlife: Civet",9
"6","Wildlife: Dwarf mongoose",2
"7","Wildlife: Genet",5
"8","Wildlife: Honey badger",11
"9","Wildlife: Hyena",12
"10","Wildlife: Jackal",60
"11","Wildlife: Leopard",4
"12","Wildlife: Serval",3
"13","Wildlife: Striped hyena",2
"14","Wildlife: White tailed mongoose",24
"15","Wildlife: Wild cat",4
