"distance","right_censored","ID"
538.504305725075,1,2569
538.504305725075,1,2569
1471.67728995693,1,2569
325.261521095536,1,3542
611.892970604392,0,3777
335.707041937118,0,4716
321.63925249729,0,4716
820.915981820207,1,4719
549.067561927475,0,4867
549.067561927475,0,4867
549.067561927475,0,4867
549.067561927475,0,4867
257.539303753389,0,5837
602.681604974279,0,6159
961.562357590613,1,6499
961.519512881759,1,6499
961.562357590613,1,6499
1070.24845314792,0,6540
555.733999330152,0,6541
849.392434803202,0,6691
849.392434803202,0,6691
849.392434803202,0,6691
1154.19637214822,0,6691
516.399885981218,0,6705
516.399885981218,0,6705
516.399885981218,0,6705
516.399885981218,0,6705
516.399885981218,0,6705
516.399885981218,0,6705
516.399885981218,0,6705
643.127834372022,1,6758
665.758349879885,1,6761
665.758349879885,1,6761
665.758349879885,1,6761
591.75113239076,1,6772
862.272120083495,1,6789
1201.82676551526,1,6802
1192.42706904613,1,6805
841.055339579757,0,6824
841.055339579757,0,6824
312.34442344742,0,7134
1004.25831114628,0,7146
1097.09657894332,0,7146
1097.09657894332,0,7146
1097.09657894332,0,7146
1099.69491958854,0,7187
1066.32904729884,0,7195
648.212699439793,1,7196
648.212699439793,1,7196
648.212699439793,1,7196
664.662502514314,1,7201
1181.9527032881,0,7252
1197.11805381064,0,7252
1062.59119147878,0,7252
972.146726546346,0,7252
972.146726546346,0,7252
1140.36013210553,0,7252
1181.9527032881,0,7252
1086.19567134595,0,7252
1236.92909575886,0,7252
1236.92909575886,0,7252
1445.27269450766,0,7252
494.655414480558,0,7252
494.655414480558,0,7252
494.655414480558,0,7252
494.655414480558,0,7252
426.090908477847,0,7298
1309.18794672171,0,7300
1309.18794672171,0,7300
1309.18794672171,0,7300
378.536042832221,1,7323
267.963982380744,0,7335
267.963982380744,0,7335
267.963982380744,0,7335
586.085580021856,0,7335
586.085580021856,0,7335
201.278333968394,0,7335
324.333481340517,0,7335
324.333481340517,0,7335
172.75410226775,0,7345
172.75410226775,0,7345
294.918063352547,0,7345
504.969428577455,0,7345
504.969428577455,0,7345
879.656270542089,0,7350
879.667223780349,0,7350
912.276625532055,0,7350
728.657787264319,0,7355
2201.80588639352,0,7361
2201.80588639352,0,7361
1100.4984610021,0,7362
771.430863153823,0,7363
771.430863153823,0,7363
560.711437040307,0,7363
560.711437040307,0,7363
560.711437040307,0,7363
427.616118334093,0,7363
427.616118334093,0,7363
666.444844182122,0,7417
666.444844182122,0,7417
653.97794956718,0,7417
689.071903614925,0,7417
390.343800999696,0,7417
258.748218177604,0,7423
354.706706046271,0,7423
227.250725399324,0,7423
659.170485092714,1,7424
1229.97398498482,0,7427
743.28843877106,0,7428
63.7234797868594,0,7431
63.7234797868594,0,7431
63.7234797868594,0,7431
190.201545993356,0,7431
190.201545993356,0,7431
517.843342279297,0,7431
517.843342279297,0,7431
517.843342279297,0,7431
528.250173977762,0,7431
538.899527422876,0,7431
538.899527422876,0,7431
538.899527422876,0,7431
488.051106257708,0,7431
488.051106257708,0,7431
1059.22720005535,0,7431
865.014987199096,0,7431
865.014987199096,0,7431
882.151950364883,0,7431
753.554359250275,0,7431
753.554359250275,0,7431
753.554359250275,0,7431
452.517154387394,0,7431
452.517154387394,0,7431
452.517154387394,0,7431
2087.94494233864,0,7431
2087.94494233864,0,7431
2087.94494233864,0,7431
2087.94494233864,0,7431
2079.4230308061,0,7431
651.418607130332,0,7431
526.224612645278,0,7431
526.224612645278,0,7431
