"v","dist","var","var1","var2","v1name","v2name","aic","n"
"steps","gamma","8.785 (0-1724.491)","0.151 (0.142-0.161)","0.001 (0.001-0.001)","shape","rate",28784.0276008227,5388
"steps","lnorm","31.714 (0.515-1954.018)","3.457 (3.355-3.558)","2.103 (2.015-2.19)","meanlog","sdlog",28843.3122117694,5388
"steps","weibull","22.192 (0.004-1726.144)","0.384 (0.369-0.399)","57.641 (51.833-63.45)","shape","scale",28757.2735260981,5388
