"Symptoms.started","step.length"
2012-05-15,0
2011-04-25,486.502969578034
2011-04-25,0
2013-01-15,0
2013-02-15,123.412583145587
2013-02-15,0
2013-02-15,79.3792196321891
2013-02-15,0
2013-02-15,0
2013-02-15,688.222474483798
2013-02-15,0
2013-05-11,0.0376884678901177
2013-05-11,0
2013-05-11,0
2012-12-01,0.019045476156428
2013-06-06,0.0278945992168425
2013-06-06,0
2013-06-06,0
2013-06-15,0.065893218614645
2013-06-15,0
2013-06-15,476.340027716106
2013-06-15,0
2013-06-15,0
2013-06-15,0
2013-06-15,0
2013-07-18,0
2013-07-18,0
2013-07-18,0
2013-07-18,0.0542771055112858
2013-07-17,0.0152091479253246
2013-07-17,0
2013-07-17,142.562513299656
2013-07-17,371.021052117528
2013-07-28,0.0152091479253246
2012-11-21,0.0153648122853728
2012-11-21,0
2012-11-21,0
2012-11-21,0
2012-11-21,80.2810579418112
2012-11-21,0
2013-02-20,0.0615912657432491
2013-02-20,0
2013-02-20,0
2013-02-20,0
2013-02-20,0
2013-02-20,437.696156778674
2013-02-20,0
2013-02-20,253.055458325197
2013-02-20,0
2013-02-20,360.843229374485
2013-02-20,0
2013-02-20,0
2013-02-20,1071.70510233286
2012-11-06,0.0520284387282889
2013-05-27,0.0514218981535046
2012-07-17,0.068421919614564
2012-07-17,0
2012-07-17,475.013388183075
2012-07-17,0
2012-07-17,0
2012-07-17,719.18382755657
2012-07-17,0
2012-07-17,76.0591049437758
2012-07-17,0
2012-07-17,0
2012-07-17,0
2012-07-17,828.210854479203
2012-07-17,0
2012-07-17,0
2012-07-17,0
2012-07-17,464.34900308536
2012-07-17,0
2012-07-17,237.428107216893
2012-07-17,0
2012-07-17,0
2012-07-17,0
2012-07-17,296.546771973306
2012-07-17,443.226671195449
2012-07-17,0
2012-07-17,225.178119478256
2012-07-17,0
2013-04-14,0.0516133214745584
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,513.421311698096
2013-03-27,0.059934907472356
2013-03-27,0
2013-03-27,0
2013-03-27,0
2013-11-25,3.00375457428772
2014-01-20,238.901741960294
2014-01-20,0
2014-01-20,0
2014-01-20,244.583522732842
2014-01-20,211.526623298318
2014-01-20,0
2014-01-20,0
2014-01-20,0
2014-01-20,1430.00504780773
2014-01-20,0
2014-01-20,0
2014-01-20,200.960097927506
2014-01-20,0
2014-01-20,0
2014-01-20,0
2014-01-20,185.701671245894
2014-01-20,0
2014-01-20,0.0370233027140699
2014-01-20,0
2014-01-20,1858.81904728779
2014-01-20,0
2014-01-20,6534.56250209542
2014-01-20,0
2014-01-29,52.2998620607349
2014-01-29,55.7479379068084
2014-01-28,0
2014-01-28,0
2014-01-28,0
2014-04-07,0.0568073500495116
2014-04-04,0.0286546733842415
2014-06-20,0
2014-06-20,0
2014-06-26,132.888704905451
2014-06-26,0
2014-06-26,74.6376615751912
2014-06-26,0
2014-06-26,128.714615426793
2014-06-26,0
2014-06-26,0
2014-06-26,791.578531221858
2014-07-01,117.212407166341
2014-07-01,0
2014-07-01,0
2013-09-15,0.0581085032886558
2013-09-15,0
2013-09-15,0
2013-09-15,0
2013-09-15,0
2013-09-15,0
2013-09-15,0
2013-09-15,0
2013-09-15,0
2013-09-15,0
2013-09-15,0
2013-09-15,0
2013-09-15,0
2013-09-15,0
2013-09-15,0
2013-09-15,0
2013-09-15,50.9217255593677
2013-09-15,0
2013-09-15,0
2013-09-15,219.977291824851
2013-09-15,0
2013-09-15,0
2013-09-15,104.924572493652
2013-09-15,0
2013-09-15,0
2013-09-15,0
2013-11-14,0.107562233713021
2013-11-14,0
2013-11-14,157.378728058698
2013-11-14,0
2013-11-14,649.684307302996
2013-11-14,0
2013-11-14,0
2013-11-14,0
2013-11-14,0
2013-11-14,1652.85071370683
2013-03-27,0.0602629525118218
2013-03-27,0
2013-03-27,718.310133089044
2013-03-27,0
2014-01-09,475.033169190306
2014-01-09,0
2014-01-09,0
2014-01-09,592.003219645717
2014-01-09,0.0246007226991499
2014-01-09,201.409002964492
2014-01-09,0
2014-01-09,0
2014-01-09,0.0321446502898207
2014-07-29,0.0380728497807507
2014-07-29,0
2014-09-24,0.0495508305018232
2014-09-24,140.32698938348
2015-01-09,160.162326357794
2015-01-09,0
2015-01-09,0
2015-01-09,0
2003-09-15,0
2003-09-15,0
2003-09-15,0
2003-09-15,0
2003-09-15,0
2003-09-15,0
2007-06-07,0.0503368695381669
2007-05-24,0
2007-05-10,477.509220975959
2007-01-25,0.0458587763677579
2007-01-25,0
2007-06-26,869.729145407922
2007-06-26,366.665509686515
2007-06-26,643.424166128832
2007-06-26,392.027593657539
2007-06-26,445.03943339507
2007-06-26,175.764060988779
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,1884.80914525463
2007-06-26,241.290698546665
2007-06-26,40.0005018604277
2007-06-26,344.061319364847
2007-06-26,0
2007-06-26,272.852906622562
2007-06-26,0
2007-06-26,0.00832425061370289
2007-06-26,0
2007-09-06,0
2007-09-06,0.0265184926675797
2007-02-26,0.0651308065604146
2007-01-28,0.0625981782052303
2007-01-28,0
2007-05-11,0.0422546217147629
2007-08-23,0.0438728994856168
2007-08-23,0
2007-08-23,0
2007-08-23,0
2007-10-31,146.740158179025
2007-10-31,2173.32673517763
2007-12-03,0.0623683753995165
2007-12-03,0
2007-12-03,0
2007-12-03,0
2007-09-25,2333.11891954257
2007-06-25,0.0620962386879174
2008-01-05,0.0584116863011925
2007-12-17,0.0203951512639056
2007-12-17,233.025570682483
2007-12-17,0
2007-12-17,0
2007-12-17,0
2007-02-05,0.0587042621456424
2006-02-15,0.999923396374081
2008-03-25,0.0260511467106173
2009-01-17,0
2009-01-17,0
2009-01-17,0
2009-01-17,0.071053658191222
2009-01-17,0
2009-01-17,0
2008-07-25,1773.64097508752
2008-07-25,0
2008-07-25,0
2007-11-04,677.686140088287
2008-10-21,0.0440172735067636
2008-10-21,0
2008-10-21,0
2008-10-21,0
2008-10-21,0
2008-10-21,474.051983883838
2008-10-21,0
2008-10-21,0
2008-10-21,0
2008-10-21,265.092671724397
2008-10-21,0
2008-10-21,461.733319621636
2008-10-21,0
2008-10-21,41.1460312250268
2008-10-21,444.099208820243
2008-10-21,524.50298334911
2008-10-21,590.650534120612
2008-10-21,0.0458681383274247
2008-10-21,395.658849990898
2008-10-21,0
2008-12-17,0.0642865016715078
2007-08-24,0
2007-08-24,0.0278221869826296
2007-08-24,0
2007-08-24,0
2007-11-25,1309.02021622864
2007-11-25,0
2008-11-27,0.0630779210818328
2008-11-27,0
2008-11-27,0
2008-11-27,0
2008-11-27,0
2008-11-27,0
2008-11-27,1091.48014708929
2008-11-27,0
2009-01-31,0.0485665237970516
2009-04-09,289.05332474288
2008-05-05,0.0134892139982923
2007-11-22,743.837294459754
2007-11-22,322.461718558595
2007-11-22,0
2007-11-22,1057.36731918107
2007-11-22,0
2007-11-22,740.141939663724
2007-11-22,0
2007-11-25,451.264791154854
2007-10-15,0.0160518436719994
2007-10-15,0
2007-10-15,0
2007-10-15,0
2007-10-15,0
2007-10-15,0
2007-10-15,0
2009-11-05,0.0370476634611255
2009-12-23,0.0485349384497167
2009-11-15,0.0464289741352423
2010-04-01,742.338029583111
2010-04-01,0
2010-04-01,112.400980963813
2010-04-01,77.9992735521218
2010-04-01,0
2010-04-01,0
2010-05-03,228.291268221476
2010-05-03,0
2007-12-01,0
2007-12-01,0
2010-08-12,0.0290999634906107
2010-08-12,0
2010-08-12,116.017052816022
2010-08-12,0
2010-08-05,0.0280123352331643
2010-08-05,0
2010-08-05,0
2010-08-05,0
2010-08-05,0
2010-09-02,0.0107495713967844
2010-09-02,0
2010-09-02,0
2010-09-02,0
2010-09-02,0
2010-09-02,52.2011181982303
2010-09-02,0
2010-09-02,0
2010-07-03,0.0434668965406148
2010-07-03,0
2010-08-15,0.0179139197941355
2010-10-18,311.723277714832
2010-10-18,0
2010-10-18,618.625725175121
2010-10-18,0
2010-10-18,557.059116198967
2010-10-18,0
2010-10-18,0
2010-08-15,0
2010-08-15,0.0731764798440272
2010-08-15,0
2010-08-15,70.3111283229896
2010-08-15,0.053404831761727
2010-08-15,0
2010-09-09,0.0595984176861064
2010-09-09,832.483780353809
2010-09-09,446.383267667049
2010-09-09,0
2010-11-22,0.0544164136174369
2010-09-15,88.0522817332231
